Wavenumber,Transmittance
1522.82622,0.85171
1523.79064,0.85265
1524.75507,0.85978
1525.71949,0.85644
1526.68391,0.86582
1527.64834,0.87659
1528.61276,0.87449
1529.57719,0.86567
1530.54161,0.85573
1531.50604,0.84478
1532.47046,0.86156
1533.43489,0.86863
1534.39931,0.86242
1535.36373,0.85142
1536.32816,0.82911
1537.29258,0.82639
1538.25701,0.84459
1539.22143,0.84866
1540.18586,0.84463
1541.15028,0.8523
1542.11471,0.85081
1543.07913,0.84343
1544.04355,0.86216
1545.00798,0.87722
1545.9724,0.87086
1546.93683,0.86704
1547.90125,0.86331
1548.86568,0.87777
1549.8301,0.88347
1550.79453,0.87455
1551.75895,0.86422
1552.72337,0.86795
1553.6878,0.8804
1554.65222,0.86108
1555.61665,0.84213
1556.58107,0.85283
1557.5455,0.8596
1558.50992,0.8717
1559.47435,0.88541
1560.43877,0.88071
1561.40319,0.87638
1562.36762,0.87053
1563.33204,0.87453
1564.29647,0.8821
1565.26089,0.87391
1566.22532,0.86174
1567.18974,0.84885
1568.15417,0.85947
1569.11859,0.86971
1570.08301,0.86441
1571.04744,0.86034
1572.01186,0.85395
1572.97629,0.83708
1573.94071,0.83732
1574.90514,0.84854
1575.86956,0.85141
1576.83399,0.84618
1577.79841,0.84173
1578.76283,0.84224
1579.72726,0.84159
1580.69168,0.84159
1581.65611,0.84262
1582.62053,0.84228
1583.58496,0.84101
1584.54938,0.84041
1585.51381,0.8395
1586.47823,0.83647
1587.44266,0.83166
1588.40708,0.82842
1589.3715,0.82521
1590.33593,0.82101
1591.30035,0.81464
1592.26478,0.80715
1593.2292,0.80411
1594.19363,0.79818
1595.15805,0.79231
1596.12248,0.78659
1597.0869,0.77957
1598.05132,0.77166
1599.01575,0.76249
1599.98017,0.75552
1600.9446,0.74776
1601.90902,0.74231
1602.87345,0.73559
1603.83787,0.72687
1604.8023,0.71958
1605.76672,0.71424
1606.73114,0.70519
1607.69557,0.69888
1608.65999,0.6995
1609.62442,0.69388
1610.58884,0.68826
1611.55327,0.68476
1612.51769,0.67837
1613.48212,0.66396
1614.44654,0.66436
1615.41096,0.68063
1616.37539,0.68521
