Wavelength,Transmittance
2293.36222,0.93782
2295.29104,0.9394
2297.21986,0.94079
2299.14867,0.94091
2301.07749,0.93984
2303.0063,0.9382
2304.93512,0.93701
2306.86394,0.93652
2308.79275,0.93684
2310.72157,0.93826
2312.65038,0.94184
2314.5792,0.94665
2316.50802,0.94883
2318.43683,0.9454
2320.36565,0.93943
2322.29446,0.93562
2324.22328,0.93576
2326.1521,0.93706
2328.08091,0.93729
2330.00973,0.93669
2331.93854,0.93772
2333.86736,0.93869
2335.79618,0.93754
2337.72499,0.93435
2339.65381,0.93073
2341.58262,0.92446
2343.51144,0.91938
2345.44026,0.92425
2347.36907,0.94418
2349.29789,0.9622
2351.2267,0.96482
2353.15552,0.9531
2355.08434,0.94088
2357.01315,0.93211
2358.94197,0.92734
2360.87078,0.92498
2362.7996,0.92386
2364.72842,0.92304
2366.65723,0.92199
2368.58605,0.91953
2370.51486,0.91534
2372.44368,0.91078
2374.3725,0.90869
2376.30131,0.91114
2378.23013,0.91651
2380.15894,0.92225
2382.08776,0.92667
2384.01658,0.92969
2385.94539,0.93061
2387.87421,0.9295
2389.80302,0.92733
2391.73184,0.9252
2393.66066,0.92423
2395.58947,0.92516
2397.51829,0.92797
2399.4471,0.93142
2401.37592,0.93372
2403.30474,0.93355
2405.23355,0.93088
2407.16237,0.92681
2409.09118,0.9232
2411.02,0.92161
2412.94882,0.92272
2414.87763,0.92587
2416.80645,0.92959
2418.73526,0.93204
2420.66408,0.9319
2422.5929,0.92889
2424.52171,0.92411
2426.45053,0.91928
2428.37934,0.91615
2430.30816,0.91569
2432.23698,0.91775
2434.16579,0.921
2436.09461,0.92373
2438.02342,0.92445
2439.95224,0.9227
2441.88106,0.91915
2443.80987,0.91538
2445.73869,0.91297
2447.6675,0.91297
2449.59632,0.91524
2451.52514,0.91859
2453.45395,0.92131
2455.38277,0.92198
2457.31158,0.91994
2459.2404,0.91569
2461.16922,0.9108
2463.09803,0.90723
2465.02685,0.90618
2466.95566,0.90779
2468.88448,0.91109
2470.8133,0.91453
2472.74211,0.91644
2474.67093,0.91585
2476.59974,0.91289
2478.52856,0.90883
2480.45738,0.90531
2482.38619,0.9037
2484.31501,0.90442
2486.24382,0.90695
2488.17264,0.90996
2490.10146,0.91181
2492.03027,0.91125
2493.95909,0.90818
2495.8879,0.90356
2497.81672,0.89901
2499.74554,0.89602
2501.67435,0.89553
2503.60317,0.89738
2505.53198,0.90055
2507.4608,0.9035
2509.38962,0.90486
2511.31843,0.90388
2513.24725,0.90099
2515.17606,0.89739
2517.10488,0.89455
2519.0337,0.8935
2520.96251,0.89456
2522.89133,0.89705
2524.82014,0.89972
2526.74896,0.90112
2528.67778,0.90041
2530.60659,0.89769
2532.53541,0.894
2534.46422,0.89074
2536.39304,0.88924
2538.32186,0.89007
2540.25067,0.89289
2542.17949,0.89654
2544.1083,0.8996
2546.03712,0.90083
2547.96594,0.89979
2549.89475,0.89698
2551.82357,0.89366
2553.75238,0.89119
2555.6812,0.89052
2557.61002,0.89178
2559.53883,0.89429
2561.46765,0.89679
2563.39646,0.8981
2565.32528,0.89754
2567.2541,0.89531
2569.18291,0.89231
2571.11173,0.88978
2573.04054,0.88872
2574.96936,0.88965
2576.89818,0.89217
2578.82699,0.89518
2580.75581,0.89738
2582.68462,0.89785
2584.61344,0.89631
2586.54226,0.89328
2588.47107,0.88984
2590.39989,0.88716
2592.3287,0.88602
2594.25752,0.88659
2596.18634,0.88823
2598.11515,0.88994
2600.04397,0.89071
2601.97278,0.88996
2603.9016,0.88772
2605.83042,0.8847
2607.75923,0.88199
2609.68805,0.88053
2611.61686,0.88059
2613.54568,0.88188
2615.4745,0.88363
2617.40331,0.88487
2619.33213,0.88466
2621.26094,0.88267
2623.18976,0.87936
2625.11858,0.87573
2627.04739,0.87275
2628.97621,0.87116
2630.90502,0.87111
2632.83384,0.87217
2634.76266,0.87348
2636.69147,0.87425
2638.62029,0.8739
2640.5491,0.87231
2642.47792,0.86982
2644.40674,0.86722
2646.33555,0.86535
2648.26437,0.86472
2650.19318,0.86514
2652.122,0.86608
2654.05082,0.86678
2655.97963,0.86655
2657.90845,0.86503
2659.83726,0.86248
2661.76608,0.85955
2663.6949,0.85697
2665.62371,0.85534
2667.55253,0.85497
2669.48134,0.85558
2671.41016,0.85655
2673.33898,0.85713
2675.26779,0.85681
2677.19661,0.8554
2679.12542,0.85323
2681.05424,0.85082
2682.98306,0.84867
2684.91187,0.84708
2686.84069,0.84623
2688.7695,0.84595
2690.69832,0.84582
2692.62714,0.84527
2694.55595,0.84394
2696.48477,0.84179
2698.41358,0.83921
2700.3424,0.83663
2702.27122,0.83456
2704.20003,0.83331
2706.12885,0.83286
2708.05766,0.83286
2709.98648,0.83295
2711.9153,0.83268
2713.84411,0.83176
2715.77293,0.83009
2717.70174,0.8279
2719.63056,0.82561
2721.55938,0.82369
2723.48819,0.82242
2725.41701,0.82194
2727.34582,0.82199
2729.27464,0.82205
2731.20346,0.82161
2733.13227,0.82064
2735.06109,0.8194
2736.9899,0.81833
2738.91872,0.81762
2740.84754,0.8173
2742.77635,0.81723
2744.70517,0.81735
2746.63398,0.81752
2748.5628,0.81765
2750.49162,0.81739
2752.42043,0.81646
2754.34925,0.8149
2756.27806,0.8131
2758.20688,0.81141
2760.1357,0.81005
2762.06451,0.80904
2763.99333,0.8083
2765.92214,0.80767
2767.85096,0.80703
2769.77978,0.80611
2771.70859,0.80492
2773.63741,0.80378
2775.56622,0.80285
2777.49504,0.80181
2779.42386,0.80051
2781.35267,0.79913
2783.28149,0.79771
2785.2103,0.79596
2787.13912,0.79401
2789.06794,0.79212
2790.99675,0.79028
2792.92557,0.78809
2794.85438,0.78545
2796.7832,0.78275
2798.71202,0.78029
2800.64083,0.7778
2802.56965,0.77509
2804.49846,0.77214
2806.42728,0.76908
2808.3561,0.76603
2810.28491,0.76317
2812.21373,0.76013
2814.14254,0.75657
2816.07136,0.75247
2818.00018,0.74806
2819.92899,0.74333
2821.85781,0.73842
2823.78662,0.73348
